# 238 stitchable .gigapan files matched to gigapan.com entries
# match types: paren_exact = filename in parens in name; word_match = stem found as word in name
# columns: match_type | gigapan_id | gigapan_name | images | local_path

paren_exact  |    4962 | Crude Awakening, at the Maker Faire (mf21_crude_awakeni |   27 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_external_250/mf21_crude_awakening.gigapan
paren_exact  |    4962 | Crude Awakening, at the Maker Faire (mf21_crude_awakeni |   27 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/mf21_crude_awakening.gigapan
paren_exact  |    4962 | Crude Awakening, at the Maker Faire (mf21_crude_awakeni |   27 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/mf21_crude_awakening.gigapan
paren_exact  |    3215 | Above Portugese Beach, Mendocino, CA (n1_b) Feb 16, 200 |  270 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_external_250/n1_b.gigapan
paren_exact  |    3215 | Above Portugese Beach, Mendocino, CA (n1_b) Feb 16, 200 |  270 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_files_2007/n1_b.gigapan
paren_exact  |    3215 | Above Portugese Beach, Mendocino, CA (n1_b) Feb 16, 200 |  270 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/n1_b.gigapan
paren_exact  |    8562 | Burning Man 2008 Center Camp (bm2008_10)                |   28 imgs | /Volumes/bigeneration/panos_consolidated/gigapan/bm2008_copy/bm2008_10.gigapan
paren_exact  |    8562 | Burning Man 2008 Center Camp (bm2008_10)                |   28 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_eritrea_newer/bm2008_copy/bm2008_10.gigapan
paren_exact  |    8562 | Burning Man 2008 Center Camp (bm2008_10)                |   28 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_old/bm2008_copy/bm2008_10.gigapan
paren_exact  |    8562 | Burning Man 2008 Center Camp (bm2008_10)                |   28 imgs | /Volumes/bigeneration/panos_consolidated/gigapan_work_2008/bm_2008/bm2008_10.gigapan
paren_exact  |    8562 | Burning Man 2008 Center Camp (bm2008_10)                |   28 imgs | /Volumes/bigeneration/pix_consolidated/bm_2008/bm2008_10.gigapan
